track_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
5xmO5SbFOiVrRGrMQhL4Jk,44,203337,FALSE,0.608,0.553,10,-3.493,1,0.0271,0.393,0,0.153,0.541,143.993,3,r-n-b
5cF0dROlMOK5uNZtivgu50,83,208786,FALSE,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33E-05,0.134,0.797,100.066,4,pop
4OQ9XGe11ckizN2EBnNED2,49,262373,FALSE,0.797,0.612,2,-9.043,0,0.0313,0.271,1.07E-05,0.314,0.919,118.162,4,synth-pop
6Grw9OtoslF9JrDJ6pgsQG,0,191733,FALSE,0.582,0.829,9,-3.517,1,0.193,0.0522,0,0.264,0.716,90.959,4,indie-pop
3fGpNiwYr981n72YY4DZvB,41,283706,FALSE,0.705,0.713,4,-6.676,0,0.0437,0.26,1.55E-05,0.0499,0.498,129.899,4,synth-pop
38p8YDx5gepOiK4SnEfoB4,56,264960,FALSE,0.735,0.583,2,-8.648,1,0.0277,0.193,5.15E-06,0.183,0.941,107.741,4,synth-pop
5g16JoBfDBqq3Rb5DvsYVX,0,152000,FALSE,0.712,0.251,6,-12.412,1,0.0473,0.807,0,0.108,0.627,79.956,5,indie-pop
0FcYoRbrZ9eR2bc5nw6feN,50,195066,FALSE,0.325,0.947,2,-7.304,1,0.115,0.174,0,0.116,0.593,202.846,4,r-n-b
1wIfq9Zul77qAtokyLTlXr,66,318493,FALSE,0.594,0.454,5,-9.422,0,0.0755,0.497,3.83E-05,0.0736,0.705,133.825,4,pop
0H3cy9U5qZWhrO5bYunEIL,25,185946,FALSE,0.742,0.78,8,-4.418,1,0.0312,0.248,8.31E-06,0.111,0.58,127.999,4,synth-pop
4yMbbysldl7E3WgiaugnwM,66,371790,FALSE,0.296,0.582,9,-5.18,0,0.0413,0.449,0,0.319,0.365,168.4,3,pop
0B9U02XhMpK0N0vbuboKgc,48,213240,FALSE,0.74,0.615,2,-13.55,0,0.0295,0.335,0.0138,0.328,0.961,117.291,4,synth-pop
6m4KhMLYzj28XmOtLL4cMU,26,250133,FALSE,0.506,0.912,6,-10.595,1,0.0443,0.00145,0.00283,0.345,0.57,154.997,4,synth-pop
6pD5shyLA2WIMgeyLWcb6A,47,185149,FALSE,0.668,0.682,9,-7.999,1,0.0419,0.00143,0.00469,0.467,0.565,139.998,4,indie-pop
2l3dFxtoSMgMQVyRIUHjpz,74,191868,FALSE,0.724,0.618,2,-9.007,1,0.0534,0.0533,0.704,0.0886,0.0683,100.021,4,pop
32LKwbmh6yVsWoRRF8DIvf,76,208000,FALSE,0.772,0.649,2,-6.411,1,0.143,0.0724,0,0.0761,0.824,90.072,4,pop
5FG3XTSTOuRgbJmfPBbx8O,1,162009,FALSE,0.541,0.753,0,-6.512,1,0.0511,0.0677,0,0.108,0.572,149.743,4,indie-pop
3t3wsY5IdLVzB9WidegJSU,65,236933,FALSE,0.533,0.732,7,-7.901,0,0.0424,0.166,0.000189,0.138,0.554,90.315,4,pop
2W3Pabwcki4u8XZhxWLkEw,4,125217,TRUE,0.816,0.754,2,-5.922,1,0.152,0.163,0.00199,0.105,0.703,92.023,4,hip-hop
0y3PBRBMFfkkbLoAVZqpFc,40,203924,FALSE,0.481,0.449,11,-10.907,1,0.0338,0.638,0.00264,0.705,0.338,122.741,5,r-n-b
2ZUyxzeqj11CBJwZbnYgb8,1,177280,FALSE,0.474,0.916,8,-3.93,1,0.0624,0.00504,0,0.325,0.745,154.948,4,indie-pop
43mHckutQvJr49nT0UvRxy,63,230204,FALSE,0.663,0.412,5,-8.195,0,0.364,0.00434,0.019,0.215,0.356,98.023,4,hip-hop
5JmEjPobY0W4JN8F20yeeh,42,150493,FALSE,0.839,0.755,3,-3.649,1,0.0448,0.428,2.47E-06,0.0532,0.97,114.978,4,r-n-b
71BJVUm9wse1WBFEGHIFsI,64,185875,FALSE,0.816,0.8,10,-5.705,0,0.0738,0.028,7.38E-05,0.129,0.533,118.01,4,synth-pop
3w5x1B7KOXuZ1zUZANmyn4,41,173280,FALSE,0.64,0.903,4,-6.138,0,0.171,0.0197,0.000142,0.167,0.38,125.095,4,r-n-b
7h24KIgBhiyzbYnxsGzevk,66,193333,FALSE,0.636,0.726,10,-8.205,0,0.0456,0.341,0.00727,0.105,0.542,162.035,4,pop
5uRsBdLhn91AYcsTCOGNOC,60,320000,FALSE,0.665,0.624,10,-11.106,0,0.049,0.505,0.0104,0.518,0.717,127.083,4,synth-pop
2sWP5BvD2gcT32MpMAhkRU,0,156265,FALSE,0.637,0.705,10,-7.546,0,0.0502,0.121,0,0.0857,0.553,158.013,4,indie-pop
0rRjGruFonCGOt0S5zAJNQ,72,320654,TRUE,0.689,0.338,11,-7.634,0,0.0629,0.349,5.70E-05,0.0649,0.568,128.012,4,indie-pop
1n5gnI3Wue9WBpYFOIQNh1,,341386,FALSE,,,11,,1,0.331,0.237,0,0.0791,0.676,,4,pop
16YZbdkJtyvsjV8UKOwQBB,57,230338,FALSE,0.651,0.661,7,-7.322,1,0.026,0.488,0.00422,0.315,0.762,118.017,4,indie-pop
2cSKGtyDddIwiSe5EhWAtW,0,207925,FALSE,0.705,0.918,6,-2.771,0,0.0678,0.0405,0.000106,0.0803,0.537,92.513,4,indie-pop
0vf2eBw2inhl8y61cYQMv2,78,179955,FALSE,0.576,0.759,3,-8.165,1,0.0599,0.12,0,0.121,0.501,99.969,4,indie-pop
1qdcYbBhlc9zmbAsKInyNl,0,172906,FALSE,0.697,0.515,6,-8.472,1,0.0331,0.455,0,0.0922,0.514,101.977,4,indie-pop
0B6RL2V2J0mfkPPVUtFnWj,24,267706,FALSE,0.519,0.828,7,-7.612,1,0.0396,0.000402,0.338,0.229,0.17,113.018,4,synth-pop
5flnQRzZYpT7v7BvNoLsQd,2,186066,FALSE,0.821,0.602,9,-6.628,1,0.168,0.108,0,0.246,0.628,90.035,4,pop
2gp0OtnltLdrcNhKHVL2qM,56,268683,FALSE,0.329,0.408,0,-10.672,1,0.0629,0.575,0,0.115,0.408,182.961,4,hip-hop
1B1BylhpWOuG6NLKvw7fav,22,244000,FALSE,0.42,0.908,2,-4.548,1,0.0299,0.00115,0.0953,0.138,0.868,80.439,4,synth-pop
6pEDBhIR7lfZtLavkKsojN,26,233097,FALSE,0.674,0.878,9,-4.179,0,0.0308,0.00468,0.0676,0.056,0.964,121.096,4,synth-pop
7hMKAmUlUUYa5qEiHWK4bk,68,396466,FALSE,0.589,0.424,4,-12.006,0,0.0359,0.844,0.00381,0.169,0.561,119.823,4,pop
7un5s8HYQ9QJG1ClQtomNB,42,303000,FALSE,0.401,0.272,7,-11.872,0,0.0498,0.311,1.18E-06,0.147,0.0927,179.887,3,pop
3TjliM0xQ3fkza0RpINRrq,69,258453,FALSE,0.746,0.691,4,-7.533,0,0.0403,0.184,0.0259,0.205,0.888,119.982,4,r-n-b
19O4hCGGm95UhvIyhwnNT5,64,202135,FALSE,0.662,0.688,0,-9.019,1,0.0413,0.0422,0.000918,0.431,0.365,102.95,4,pop
2rUzh19do9xKVsfWCa92x7,0,295932,FALSE,0.725,0.918,8,-2.468,1,0.0352,0.000148,0.00127,0.0642,0.503,128.016,4,indie-pop
74qF0JeFMVilMEeFDiQZ48,63,184609,FALSE,0.776,0.969,8,-0.079,0,0.105,0.0149,0.000153,0.352,0.802,94.018,4,hip-hop
01MVOl9KtVTNfFiBU9I7dc,58,214240,FALSE,0.688,0.481,6,-8.807,1,0.105,0.289,0,0.189,0.666,98.017,4,indie-pop
1p6rk9R8SCum97WnvGNt6O,59,222957,FALSE,0.532,0.613,0,-7.64,1,0.0576,0.326,0,0.292,0.493,106.081,4,indie-pop
4kRc7p2V90iXGJpFOksF6q,43,327062,FALSE,0.479,0.524,3,-5.829,1,0.0273,0.229,0.00115,0.203,0.194,145.017,3,indie-pop
70wFZWY6cKFxp3Qcq8uxH4,71,230903,FALSE,0.748,0.472,0,-9.266,0,0.125,0.596,1.10E-05,0.102,0.364,149.97,4,pop
10Hx18HoNVjnsBKwQIH9eX,0,135053,TRUE,0.833,0.652,11,-6.942,1,0.0762,0.00161,0.0985,0.106,0.405,158.022,4,hip-hop
1J9OoW4eLxIjwo10lBB83x,62,215409,TRUE,0.74,0.648,10,-5.171,0,0.0374,0.659,0,0.11,0.4,122.03,4,hip-hop
5uHy68Q7ZWe8Qq9k7EAprS,72,160851,FALSE,0.708,0.672,6,-7.493,0,0.0582,0.322,0,0.135,0.399,93.886,4,pop
5RgN2LdqCGnxztU1cTNJjf,0,200547,TRUE,0.825,0.414,2,-6.634,1,0.144,0.00265,0,0.357,0.106,72.993,4,hip-hop
1f660M0jwz7F4qlDjTSLmO,63,196133,FALSE,0.547,0.785,5,-5.865,0,0.0675,0.204,0,0.0835,0.764,81.781,4,pop
340UVheS8z3ncW9TTUhAbc,68,231998,TRUE,0.611,0.622,9,-5.075,0,0.0734,0.0188,0,0.359,0.538,146.11,4,indie-pop
3yTfCvdiC3N71rUTDMMMZx,0,199040,FALSE,0.816,0.645,5,-5.435,1,0.0402,0.517,0,0.0724,0.74,94.965,4,r-n-b
0hcvwkxhxlIRdeLb1dWJBT,,245187,FALSE,,,5,,0,0.0372,0.102,0,0.229,0.602,,4,synth-pop
3hMwHdlG3ulHUqVSyWOzMU,0,180247,TRUE,0.652,0.66,1,-5.319,1,0.0364,0.000724,0.000963,0.134,0.255,104.991,3,hip-hop
4ebcE2SmkG7nplvzFAWRu7,68,175266,FALSE,0.514,0.942,9,-8.433,1,0.0502,0.282,6.60E-05,0.17,0.912,159.847,4,synth-pop
3i9uGfgo9kXoRUNAl3M8Mr,6,167760,FALSE,0.705,0.562,8,-3.378,0,0.0674,0.257,0,0.137,0.569,163.893,4,pop
698BVnDEuu5eDWjWfVH0qV,0,229173,FALSE,0.81,0.916,4,-2.649,0,0.0537,0.312,7.63E-06,0.347,0.794,116.009,4,hip-hop
1Tfxi7N3DW4zvAuVjt9g8X,62,178216,TRUE,0.753,0.502,1,-6.879,1,0.264,0.0439,1.54E-06,0.128,0.349,205.895,4,indie-pop
77AAzPYU8BzH1706odR9WR,0,211920,FALSE,0.787,0.858,10,-4.152,0,0.0373,0.405,2.95E-06,0.133,0.814,105,4,hip-hop
5O4NFbDqJ8SOfbjnIhdPDt,63,164866,FALSE,0.525,0.882,5,-4.479,1,0.0467,0.0252,0,0.101,0.623,101.674,4,synth-pop
51FpZbIYAtkWtbFzZVLxUk,0,157160,FALSE,0.751,0.444,4,-8.63,1,0.0403,0.12,3.53E-06,0.118,0.849,111.917,4,r-n-b
1PYCOTJ2g3WJkFsgLlzIEW,,185133,TRUE,,,8,,1,0.0502,0.512,0,0.0638,0.966,,4,r-n-b
4Kh6cq3XgOGUK9yXQu7RTq,69,134482,TRUE,0.619,0.502,0,-8.097,0,0.249,0.178,0,0.155,0.38,174.196,4,indie-pop
14KRCsp4ZjQbw60d0DKxoV,1,195400,FALSE,0.744,0.871,8,-5.123,1,0.0499,0.145,0.000498,0.0752,0.902,172.03,4,hip-hop
5g1i02FYQMmVj4L17Gis1C,66,134204,FALSE,0.697,0.271,0,-11.507,1,0.093,0.923,0,0.101,0.773,119.835,4,pop
6i5QcWVTuzM67pXgD9Q7Vw,57,225558,FALSE,0.684,0.489,1,-8.625,1,0.0595,0.639,0,0.105,0.375,87.104,4,hip-hop
5oibpY8nzNR2uCPKMzLeK0,0,152000,FALSE,0.918,0.362,1,-9.943,1,0.0905,0.116,0,0.263,0.744,120.007,4,hip-hop
3H3x4NhR3wJh6IvRHmPvkd,70,228567,FALSE,0.741,0.761,8,-5.414,1,0.143,0.759,0.000607,0.126,0.912,147.047,3,pop
6JNJERZGJwDVgkmbohBw7u,73,246440,FALSE,0.814,0.686,6,-12.172,0,0.0342,0.219,0.00382,0.155,0.778,106.679,4,synth-pop
7pYMmSSlsSsrygkg63YJEb,1,196558,FALSE,0.65,0.625,0,-10.122,0,0.0359,0.00536,0.00046,0.119,0.293,118.965,4,synth-pop
1U7Y9C4YpHYp1EJP1p5rRs,40,177236,FALSE,0.442,0.55,10,-3.845,1,0.184,0.73,0.00059,0.276,0.332,101.389,3,indie-pop
7HPM13Xek5XoRWxRzHfvkB,67,273272,FALSE,0.612,0.78,1,-5.123,0,0.0814,0.0781,0,0.0593,0.554,92.059,4,pop
0xttqqTj7ZAGyVkfOYxQ4F,70,264506,FALSE,0.665,0.596,9,-6.969,0,0.0278,0.293,3.67E-05,0.247,0.644,110.055,4,hip-hop
3lKZ1pSPNDUKf9hQOetqW6,0,189186,FALSE,0.517,0.206,5,-12.233,1,0.0421,0.924,0,0.118,0.489,80.401,4,indie-pop
65dvxc4Kctq3JIJ2BkKKMj,68,357006,FALSE,0.602,0.758,1,-9.416,1,0.0324,0.25,3.93E-05,0.209,0.788,141.108,4,pop
1qtOncyVGwrltAsTWFuW6m,0,158533,FALSE,0.578,0.182,8,-10.424,1,0.0444,0.825,5.00E-06,0.144,0.477,127.363,4,r-n-b
5tfuXF09XVnvro9l5l9Mle,1,168839,FALSE,0.854,0.446,1,-8.957,0,0.198,0.313,0.215,0.156,0.57,92.545,4,pop
4i3xoVyj8Ws3wJllgOHSTI,0,140000,FALSE,0.633,0.372,2,-11.809,1,0.0413,0.534,0,0.13,0.362,97.951,4,indie-pop
4Mh04VNolWA9g97ychP72l,69,172054,FALSE,0.801,0.346,5,-13.455,0,0.252,0.0468,0.00169,0.112,0.653,159.986,4,hip-hop
4Ft4Tj0l8kzfKBv8vGuR4t,59,215536,FALSE,0.443,0.668,11,-12.031,1,0.294,0.693,0.000443,0.0579,0.512,98.072,4,hip-hop
4k6KS2c3N2ifY0HUCtD4tL,0,161880,FALSE,0.689,0.856,5,-3.394,0,0.0813,0.0493,0,0.232,0.706,126.108,4,hip-hop
6Ozx2ngGtXrqznTKhKBlrT,63,356826,FALSE,0.34,0.96,1,-5.427,1,0.0802,0.238,4.32E-06,0.0378,0.475,150.04,4,hip-hop
0qyMrxLDdU14grB9GWndxa,0,162897,FALSE,0.647,0.876,10,-5.662,1,0.185,0.881,3.59E-05,0.26,0.949,151.925,4,r-n-b
7Lvxcrbzuz1mNCPkFakS9K,67,224040,FALSE,0.645,0.534,4,-5.428,0,0.0306,0.147,4.30E-06,0.0858,0.302,90.024,4,pop
6fBMKVPDNNdnKzaW4Hvu2M,0,258532,FALSE,0.512,0.452,2,-8.991,1,0.0292,0.775,0.0818,0.065,0.235,124.103,4,pop
3NpbGCDrcQTERaZb5dHhd3,71,216328,FALSE,0.69,0.575,11,-5.763,0,0.124,0.345,0,0.309,0.509,87.967,4,hip-hop
0TzpHT6hJ5pb3P6CqIduh3,62,160851,FALSE,0.805,0.703,10,-6.363,0,0.399,0.113,0,0.165,0.771,93.97,4,hip-hop
2Cl9xsAUKBPMXuUBUXklbn,40,237213,FALSE,0.776,0.944,9,-3.686,1,0.0642,0.127,0.00016,0.0595,0.702,120.006,4,r-n-b
2tjWCe2W7sgvS3C8NHcdtI,74,222500,FALSE,0.435,0.658,7,-5.949,0,0.0368,0.699,0,0.125,0.524,77.17,4,pop
6hHKmuoTP4S9Gqf6T8qUFb,3,158994,FALSE,0.687,0.717,11,-6.61,1,0.0755,0.0744,0,0.134,0.685,88.063,4,pop
1YkcLPnPxvJbOkbKJFm9vJ,42,203346,FALSE,0.672,0.489,0,-5.15,1,0.0285,0.549,0,0.16,0.927,98.447,3,r-n-b
53tpLtadGWykXOix1WZ7YU,39,252266,FALSE,0.508,0.934,9,-5.363,1,0.0736,0.0112,0.0151,0.986,0.564,88.012,4,r-n-b
2LCvypYL9a21Hln4A4EdWU,57,184000,FALSE,0.716,0.29,9,-12.098,1,0.0332,0.634,7.30E-05,0.0987,0.281,90.019,4,indie-pop
1B1Y52ftMyCmgjPsEMQDqq,58,286666,FALSE,0.787,0.516,7,-12.792,1,0.0332,0.66,1.10E-05,0.293,0.882,108.19,4,synth-pop
58s7n1XdbmiUDYh4cGkHKB,3,107750,FALSE,0.781,0.728,2,-7.612,1,0.1,0.179,0.000206,0.73,0.363,103.27,4,hip-hop
08HJeHs0U9iSbDWX0sWIem,,169371,FALSE,,,9,,1,0.0999,0.739,0,0.0919,0.316,,4,r-n-b
776AftMmFFAWUIEAb3lHhw,76,194786,TRUE,0.625,0.939,4,-3.115,0,0.0669,0.00138,0,0.424,0.644,102.999,4,indie-pop
6FYfhKknpt05Om6YPcEYAg,80,184153,FALSE,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,4,indie-pop
499GJHKeK9sZLfM03XejN0,2,183066,FALSE,0.623,0.668,6,-7.282,0,0.0531,0.475,0,0.0862,0.823,161.948,4,pop
37Q5anxoGWYdRsyeXkkNoI,69,246520,FALSE,0.64,0.852,1,-8.119,0,0.0345,0.0243,1.82E-06,0.0497,0.793,122.902,4,synth-pop
7L45FaJtYVIlQP8UlqYom2,0,183066,FALSE,0.623,0.668,6,-7.282,0,0.0531,0.475,0,0.0862,0.823,161.948,4,pop
6MDtS6MzlIzGUjbC1rapa4,59,226046,FALSE,0.594,0.828,11,-4.202,0,0.0321,0.000924,0,0.0756,0.372,128.994,4,indie-pop
6kykAmLzRQI5ozXjujslWo,0,146520,FALSE,0.634,0.689,11,-5.406,1,0.0307,0.0109,0,0.114,0.899,140.071,4,indie-pop
1r6sFC5J0p9r3jcfIoSGDM,67,230082,FALSE,0.441,0.61,9,-5.182,0,0.0404,0.238,0,0.101,0.348,79.736,4,pop
0z29wv0x2IXrpWxNgICET7,65,212713,FALSE,0.63,0.423,2,-7.705,1,0.0318,0.507,2.24E-06,0.219,0.319,90.019,4,indie-pop
5wcXQ4f9BTB1dPXmsqp4kI,0,240560,FALSE,0.451,0.803,0,-4.932,1,0.0398,0.208,0,0.0764,0.145,153.95,3,indie-pop
4kXkT9HF9ZfDjuv3LIKcwJ,54,250000,FALSE,0.762,0.391,1,-11.735,1,0.0337,0.867,0.000521,0.112,0.355,137.956,3,indie-pop
2a7zxjZ1I88Z6sYm0ThuSc,62,175890,FALSE,0.676,0.739,4,-5.319,0,0.159,0.137,0,0.233,0.755,146.056,4,hip-hop
5wJhQnfQxUqIJoPgGpJRl0,0,252306,FALSE,0.524,0.533,8,-14.142,1,0.0341,0.0724,0.69,0.0456,0.348,109.648,3,synth-pop
7I7s5Nl6C8pxsCOWJBxWxW,0,274906,FALSE,0.755,0.957,10,-5.201,0,0.0657,0.0655,0.00143,0.258,0.793,103.892,4,r-n-b
322TxW77VZdX9gHynK5Xue,63,193425,FALSE,0.659,0.345,11,-8.464,1,0.107,0.106,0,0.107,0.338,84.761,4,indie-pop
5DMirbBpNmJdTU9rGH2VW4,2,309600,FALSE,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46E-05,0.11,0.213,146.277,4,pop
4V0x90QcMh4ZxwHzEWOdtK,63,192080,FALSE,0.34,0.737,8,-4.681,1,0.0582,0.000105,0.762,0.0699,0.499,172.022,4,synth-pop
6mnuDGSAq3FYQrn8KxNPsn,0,238805,FALSE,0.761,0.525,11,-6.9,1,0.0944,0.44,6.70E-06,0.0921,0.531,80.87,4,indie-pop
1PMyULgDs4FZNhFi7MPw8n,65,157648,FALSE,0.48,0.369,7,-8.766,1,0.0405,0.835,0,0.1,0.548,159.687,4,pop
2NEhxLuoy6tKtLhm7D6Sp0,0,118466,TRUE,0.904,0.601,2,-5.561,1,0.198,0.0305,0,0.615,0.761,87.037,4,hip-hop
4KWKrzTYu5e7fcYC7nKUun,43,248800,FALSE,0.688,0.484,1,-9.254,1,0.0298,0.646,0.0129,0.109,0.447,124.062,4,r-n-b
2V41wbqhBf6YpleKq4IQnG,25,214333,FALSE,0.685,0.71,11,-8.194,1,0.0557,0.000307,0.214,0.222,0.928,140.457,4,synth-pop
3lS99gJJAWuxKxQfXArvvx,44,232846,FALSE,0.506,0.871,8,-4.091,1,0.0313,0.00499,9.15E-06,0.127,0.382,129.98,4,synth-pop
64p6ua7zpf66s62StC2QLv,69,190673,FALSE,0.644,0.892,0,-1.1,0,0.0567,0.13,0.000113,0.0893,0.767,180.044,4,pop
6pzlnyHTVYi5FOmrgOmC95,71,238369,FALSE,0.481,0.392,4,-8.2,1,0.0246,0.478,0,0.122,0.257,91.796,4,pop
2e1tIq1uwyKO2oeLQOqaXs,56,161839,FALSE,0.64,0.813,1,-5.735,1,0.262,0.0418,0,0.801,0.553,91.834,4,hip-hop
5cfKBuE5XKtlaNOVjQwA9H,68,282208,FALSE,0.575,0.577,7,-6.674,1,0.0432,0.451,3.98E-06,0.264,0.157,90.012,4,pop
